繁體	简体	吳拼	出處	備註
蔭	荫	in1	1	
廕	荫	in1	1	
音	音	in1	1	
膺	膺	in1	1	
應	应	in1	1	
応	应	in1	1	
嬰	婴	in1	2	
纓	缨	in1	2	
鸚	鹦	in1	2	
櫻	樱	in1	2	文讀
桜	樱	in1	2	文讀
鶯	莺	in1	2	
鷪	莺	in1	2	
英	英	in1	2	
殷	殷	in1	2	
慇	殷	in1	2	
因	因	in1	1	
囙	因	in1	1	
姻	姻	in1	2	
婣	姻	in1	2	
洇	洇	in1	1	
茵	茵	in1	2	
蠅	蝇	in1	1	
形	形	in1	3	又音 僅限於「八分形過」
飲	饮	in3	1	
飮	饮	in3	1	
影	影	in3	2	
縈	萦	in3	1	
隱	隐	in3	1	
隠	隐	in3	1	
䌥	𦈠	in3	1	縫（被子）
𢷍	𢷍	in5	1	比測容器大小，或以容器估量物之多少
應	应	in5	1	
印	印	in5	1	
熨	熨	in5	1	
映	映	in5	1	
瀴	瀴	in5	1	把瓜果、食品等放在冷水中使涼
引	引	in5	3	僅限於「地腳引」
滾	滚	kuen3	1	
滚	滚	kuen3	1	
棍	棍	kuen5	1	
昆	昆	khuen1	2	
崑	昆	khuen1	2	
崐	昆	khuen1	2	
坤	坤	khuen1	2	
堃	坤	khuen1	2	
困	困	khuen1	2	
捆	捆	khuen3	2	
綑	捆	khuen3	2	
睏	困	khuen5	1	
滾	滚	guen6	3	僅限於「滾記滾記」
滚	滚	guen6	3	僅限於「滾記滾記」
昏	昏	huen1	1	
昬	昏	huen1	1	
婚	婚	huen1	1	
葷	荤	huen1	1	
魂	魂	wen2	1	
餛	馄	wen2	1	
渾	浑	wen2	1	
混	混	wen6	1	
溫	温	uen1	1	
温	温	uen1	1	
瘟	瘟	uen1	1	
薀	蕰	uen1	1	
穩	稳	uen3	1	
穏	稳	uen3	1	
渾	浑	uen3	3	僅限於「打渾」
搵	揾	uen5	1	在液體、粉末或糊狀的東西裏沾一下就拿出來
揾	揾	uen5	1	在液體、粉末或糊狀的東西裏沾一下就拿出來
君	君	ciun1	2	
莙	莙	ciun1	1	
軍	军	ciun1	1	
均	均	ciun1	2	
鈞	钧	ciun1	2	
皸	皲	ciun1	1	皮膚因受凍而燥裂
桊	桊	ciun5	1	牛鼻桊
棬	桊	ciun5	2	牛鼻棬
菌	菌	chiun5	2	
𧱝	𧱝	chiun5	1	豬用嘴鼻拱
䠻	䠻	chiun5	4	低頭
裙	裙	jiun2	1	
羣	群	jiun2	2	
群	群	jiun2	2	
窘	窘	jiun2	2	
郡	郡	jiun2	2	
熏	熏	shiun1	1	
薰	熏	shiun1	1	
燻	熏	shiun1	1	
焄	焄	shiun1	1	
勛	勋	shiun1	2	
勳	勋	shiun1	2	
勲	勋	shiun1	2	
訓	训	shiun5	2	
勻	匀	yun2	1	
匀	匀	yun2	1	
允	允	yun2	2	
尹	尹	yun2	2	姓
云	云	yun2	2	
雲	云	yun2	1	
隕	陨	yun6	2	
殞	殒	yun6	2	
耘	耘	yun6	1	
閏	闰	yun6	1	
韻	韵	yun6	2	
韵	韵	yun6	2	
運	运	yun6	1	
暈	晕	yun6	1	
孕	孕	yun6	2	
蘊	蕴	iun1	2	
藴	蕴	iun1	2	
肫	肫	tsyun1	1	鳥類及家禽的胃
峻	峻	tsyun1	2	
竣	竣	tsyun1	2	
駿	骏	tsyun1	2	
俊	俊	tsyun1	2	
儁	俊	tsyun1	2	
真	真	tsyun1	1	僅限於「頂真」
眞	真	tsyun1	1	僅限於「頂真」
准	准	tsyun3	2	
準	准	tsyun3	1	
皴	皴	tsyun5	1	皺鼻；皺眉
振	振	tsyun5	1	
䟴	䟴	tsyun5	4	下蹲屈身縱跳
鎮	镇	tsyun5	1	
鎭	镇	tsyun5	1	
震	震	tsyun5	2	
春	春	tshyun1	1	
旾	春	tshyun1	1	
椿	椿	tshyun1	1	
皴	皴	tshyun1	1	
蠢	蠢	tshyun3	1	
惷	蠢	tshyun3	1	
洵	洵	syun1	2	
申	申	syun1	2	
伸	伸	syun1	2	
娠	娠	syun1	2	
榫	榫	syun3	1	榫頭
旬	旬	syun3	1	
筍	笋	syun3	1	
笋	笋	syun3	1	
瞬	瞬	syun5	2	
舜	舜	syun5	2	
殉	殉	syun5	2	
審	审	syun5	2	
仁	仁	zyun2	2	
人	人	zyun2	1	文讀
醇	醇	zyun2	2	
醕	醇	zyun2	2	
循	循	zyun2	1	
楯	楯	zyun2	1	檐楯
純	纯	zyun2	1	
蒓	莼	zyun2	2	
蓴	莼	zyun2	2	
脣	唇	zyun2	2	
唇	唇	zyun2	2	
神	神	zyun2	1	
辰	辰	zyun2	1	
晨	晨	zyun2	2	
宸	宸	zyun2	2	
娠	娠	zyun2	2	又音
巡	巡	zyun2	2	
廵	巡	zyun2	2	
忍	忍	zyun6	2	
蕈	蕈	zyun6	3	
任	任	zyun6	1	
腎	肾	zyun6	1	
順	顺	zyun6	1	
刃	刃	zyun6	2	
仞	仞	zyun6	1	
認	认	zyun6	2	文讀
潤	润	zyun6	2	
慎	慎	zyun6	2	
愼	慎	zyun6	2	
昚	慎	zyun6	2	
軔	轫	zyun6	2	
㞞	𪨊	zyun6	2	精液
蜃	蜃	zyun6	2	出蜃
崩	崩	pon1	1	
捧	捧	phon3	1	
㠮	㠮	phon3	3	胓㠮
碰	碰	phon5	1	碰着
踫	碰	phon5	1	碰着
掽	碰	phon5	1	碰着
蓬	蓬	bon2	1	
篷	篷	bon2	1	
塳	塳	bon2	1	塳塵
蒙	蒙	mon2	1	
懞	蒙	mon2	1	
懵	懵	mon2	1	
風	风	fon1	1	
楓	枫	fon1	1	
瘋	疯	fon1	1	
丰	丰	fon1	2	
豐	丰	fon1	2	
封	封	fon1	1	
峯	峰	fon1	2	
峰	峰	fon1	2	
烽	烽	fon1	2	
蜂	蜂	fon1	1	
鋒	锋	fon1	1	
紛	纷	fon1	3	僅限於「拖紛」
諷	讽	fon1	2	
畚	畚	fon1	1	拖畚
風	风	fon5	1	形容詞，縱情嬉鬧、玩耍
馮	冯	von2	2	
逢	逢	von2	2	
縫	缝	von2	1	裁縫
奉	奉	von6	2	
鳳	凤	von6	1	
縫	缝	von6	1	縫蕩
俸	俸	von6	2	又音
冬	冬	ton1	1	
東	东	ton1	1	
倲	㑈	ton1	3	㽺倲倲
端	端	ton1	1	限於「端午」
懂	懂	ton3	1	
董	董	ton3	2	
㖦	𰇎	ton3	3	
凍	冻	ton5	1	
棟	栋	ton5	1	
通	通	thon1	1	
捅	捅	thon3	2	
統	统	thon3	1	
痛	痛	thon5	1	
同	同	don2	1	
仝	同	don2	1	
衕	同	don2	1	
銅	铜	don2	1	
桐	桐	don2	1	
烔	烔	don2	3	熱烔烔
童	童	don2	1	
瞳	瞳	don2	1	
潼	潼	don2	2	
僮	僮	don2	2	
動	动	don6	1	
桶	桶	don6	1	
筒	筒	don6	1	
筩	筒	don6	1	
䞒	䞒	don6	3	䞒紅
洞	洞	don6	1	
胴	胴	don6	1	胴肛
農	农	non2	1	
辳	农	non2	1	
膿	脓	non2	1	
儂	侬	non6	2	又音
襛	襛	nhon1	1	穿得過多
齈	齈	nhon5	1	黃齈鼻頭
齆	齆	nhon5	1	
噥	哝	nhon5	3	
隆	隆	lon2	1	
龍	龙	lon2	1	
竜	龙	lon2	1	
籠	笼	lon2	1	
襱	襱	lon2	1	布頭襱
朧	胧	lon2	1	
聾	聋	lon2	1	
礱	砻	lon2	1	木製的脫去稻穀外皮的農具
嚨	咙	lon2	1	
攏	拢	lon6	1	
壟	垄	lon6	1	
壠	垅	lon6	2	
躘	𨀁	lon6	1	
弄	弄	lon6	1	
挵	弄	lon6	1	
𢙱	𢙱	lon6	1	呆剝𢙱倲
弄	弄	lhon1	1	放入；伸入
挵	弄	lhon1	1	放入；伸入
宗	宗	tson1	1	
棕	棕	tson1	2	
綜	综	tson1	2	
鬃	鬃	tson1	2	
騌	鬃	tson1	2	
騣	鬃	tson1	2	
鬉	鬃	tson1	2	
踪	踪	tson1	2	
蹤	踪	tson1	2	
中	中	tson1	1	
忠	忠	tson1	2	
盅	盅	tson1	1	
衷	衷	tson1	1	
鐘	钟	tson1	1	
鍾	钟	tson1	2	
終	终	tson1	1	
供	供	tson1	3	僅限於贍養一義
總	总	tson3	1	
総	总	tson3	1	
腫	肿	tson3	1	
種	种	tson3	1	名詞
踵	踵	tson3	2	
塚	冢	tson3	2	
冢	冢	tson3	2	
縱	纵	tson5	1	
縦	纵	tson5	1	
糉	粽	tson5	1	
粽	粽	tson5	1	
衆	众	tson5	2	
眾	众	tson5	1	
種	种	tson5	1	動詞
匆	匆	tshon1	2	
怱	匆	tshon1	2	
悤	匆	tshon1	2	
葱	葱	tshon1	1	
蔥	葱	tshon1	1	
楤	楤	tshon1	1	楤檐
樬	楤	tshon1	1	楤檐
棇	楤	tshon1	1	楤檐
熜	熜	tshon1	3	火熜
囪	囱	tshon1	1	
囱	囱	tshon1	1	
聰	聪	tshon1	2	
聡	聪	tshon1	2	
從	从	tshon1	2	從容
従	从	tshon1	2	從容
从	从	tshon1	2	從容
充	充	tshon1	1	
𥅻	𥅻	tshon1	1	
衝	冲	tshon1	1	
沖	冲	tshon1	1	
冲	冲	tshon1	2	
翀	冲	tshon1	2	
舂	舂	tshon1	2	
寵	宠	tshon3	2	
種	种	tshon3	3	僅限於「火种彭生」
銃	铳	tshon5	1	
蹱	蹱	tshon5	1	
踵	踵	tshon5	2	僅限於「七踵八跌」
從	从	dzon2	1	
従	从	dzon2	1	
从	从	dzon2	1	
叢	丛	dzon2	2	
崇	崇	dzon2	2	
蟲	虫	dzon2	1	
重	重	dzon2	1	
重	重	dzon6	2	
𧙇	𧙇	dzon6	4	𧙇被
誦	诵	dzon6	2	
頌	颂	dzon6	2	
訟	讼	dzon6	1	
松	松	son1	1	
鬆	松	son1	1	
淞	淞	son1	2	
嵩	嵩	son1	2	
叔	叔	son1	1	兒化殘留
𢱤	𢱤	son3	1	
聳	耸	son3	1	
慫	怂	son5	1	弄慫
宋	宋	son5	1	
送	送	son5	1	
𢱤	𢱤	son5	3	推；托
公	公	kon1	1	
工	工	kon1	1	
紅	红	kon1	1	僅限於「苗紅」一詞
功	功	kon1	1	
恭	恭	kon1	2	
蚣	蚣	kon1	2	
汞	汞	kon1	2	化學元素
銾	汞	kon1	2	化學元素，又稱「汞」
躬	躬	kon1	2	
躳	躬	kon1	2	
疘	肛	kon1	1	胴肛
肛	肛	kon1	1	胴肛
弓	弓	kon1	1	
貢	贡	kon1	1	
拱	拱	kon3	1	
攻	攻	kon5	2	
宮	宫	kon5	2	
宫	宫	kon5	2	
龔	龚	kon5	2	
供	供	kon5	1	
𠞖	𠞖	kon5	2	𠞖洞
空	空	khon1	2	空氣
箜	箜	khon1	1	
控	控	khon1	2	
恐	恐	khon3	1	
孔	孔	khon3	1	
空	空	khon5	1	
共	共	gon6	1	
跫	跫	gon6	3	
烘	烘	hon1	1	
訇	訇	hon1	2	
揈	揈	hon1	2	
紅	红	hon1	1	「雪裏蕻」也作「雪裏紅」
蕻	蕻	hon1	1	
哄	哄	hon3	1	
轟	轰	hon5	1	
紅	红	ghon2	1	
洪	洪	ghon2	1	
虹	虹	ghon2	2	文讀
宏	宏	ghon2	2	
弘	弘	ghon2	2	
鴻	鸿	ghon2	2	
叿	叿	ghon2	1	
鑊	镬	ghon2	1	兒化殘留，表小稱
哄	哄	ghon6	3	
鬨	哄	ghon6	3	
閧	哄	ghon6	3	
翁	翁	on1	1	
蕹	蕹	on1	1	蕹菜
䐥	䐥	on1	1	䐥氣
紅	红	on1	3	僅限於「鼻頭紅」
屋	屋	on1	3	又音 僅限於「五架屋」等
蓊	蓊	on3	1	芋艿蓊
瓮	瓮	on5	2	
罋	瓮	on5	2	
甕	瓮	on5	2	
嗡	嗡	on5	2	
傴	伛	on5	2	傴背
迥	迥	cion3	2	
逈	迥	cion3	2	
炯	炯	cion3	2	
烱	炯	cion3	2	
窮	穷	jion2	2	
穹	穹	jion2	2	
絨	绒	gnion2	1	
羢	绒	gnion2	1	
毧	绒	gnion2	1	
濃	浓	gnion2	2	
𡢿	𭑸	gnion2	1	
搑	搑	gnion6	1	人多互相推擠
兄	兄	shion1	1	
兇	凶	shion1	2	
凶	凶	shion1	2	
胸	胸	shion1	1	
胷	胸	shion1	1	
嗅	嗅	shion5	1	
榮	荣	yon2	2	
栄	荣	yon2	2	
融	融	yon2	2	
螎	融	yon2	2	
容	容	yon2	2	
蓉	蓉	yon2	2	
溶	溶	yon2	2	
鎔	镕	yon2	2	
熔	熔	yon2	2	
雄	雄	yon2	1	
熊	熊	yon2	2	
庸	庸	yon2	2	庸俗
螢	萤	yon2	3	又音 僅限於「火螢頭」
蛍	萤	yon2	3	又音 僅限於「火螢頭」
佣	佣	yon6	1	
傭	佣	yon6	1	
用	用	yon6	1	
壅	壅	ion1	1	
擁	拥	ion1	1	
癰	痈	ion1	2	
永	永	ion3	2	
泳	泳	ion3	2	
詠	咏	ion3	2	
咏	咏	ion3	2	
甬	甬	ion3	1	
涌	涌	ion3	2	
湧	涌	ion3	2	
勇	勇	ion3	2	
蛹	蛹	ion3	1	
雍	雍	ion5	2	
雝	雍	ion5	2	
八	八	paq7	1	
丷	八	paq7	1	
百	百	paq7	1	
柏	柏	paq7	1	
栢	柏	paq7	1	
伯	伯	paq7	1	
泊	泊	paq7	2	梁山泊
袹	袹	paq7	3	硬袹紙
不	不	paq7	1	
撥	拨	paq7	1	
缽	钵	paq7	2	
鉢	钵	paq7	2	
盋	钵	paq7	2	
迫	迫	paq7	1	
廹	迫	paq7	1	
爸	爸	paq7	3	阿爸
襞	襞	paq7	1	用漿糊粘合後曬乾的多層硬布，舊時用來做鞋幫及鞋底的襯層
癟	瘪	paq7	3	又音 僅限於「乾薑癟棗」
㿜	瘪	paq7	3	又音 僅限於「乾薑癟棗」
白	白	paq7	3	又音 僅限於「空頭白腦」
拍	拍	phaq7	1	
帕	帕	phaq7	2	
魄	魄	phaq7	1	
珀	珀	phaq7	2	
泊	泊	phaq7	2	湖泊
舶	舶	phaq7	2	
𤖼	𤖼	phaq7	1	𤖼開
潑	泼	phaq7	1	
白	白	baq8	1	
拔	拔	baq8	1	
抜	拔	baq8	1	
鈸	钹	baq8	1	
坺	坺	baq8	3	
跋	跋	baq8	2	
祓	祓	baq8	1	祓秋。音特殊，或爲寧波俗音，The Ningpo Syllabary 亦記作 bah
炦	炦	baq8	3	熱炦炦
薄	薄	baq8	1	又音
鼻	鼻	baq8	1	白讀
帛	帛	baq8	2	
勃	勃	baq8	2	
餑	饽	baq8	2	
浡	浡	baq8	2	吹浡
脖	脖	baq8	2	
渤	渤	baq8	2	
佛	佛	baq8	3	僅限於「大佛」
百	百	baq8	3	僅限於「害連百場」
𦤣	𦤣	baq8	4	又音，餲𦤣
麥	麦	maq8	1	
脈	脉	maq8	1	
脉	脉	maq8	1	
衇	脉	maq8	1	
𢫦	𢫦	maq8	1	用棍棒打
襪	袜	maq8	1	
韈	袜	maq8	1	
韤	袜	maq8	1	
袜	袜	maq8	1	
陌	陌	maq8	1	
沒	没	maq8	1	
没	没	maq8	1	
默	默	maq8	1	
末	末	maq8	1	
抹	抹	maq8	2	
沫	沫	maq8	2	
茉	茉	maq8	1	
𠇱	𠇱	maq8	3	𠇱㒓
枚	枚	maq8	3	又音 量詞
沒	没	mhaq7	2	
發	发	faq7	1	
発	发	faq7	1	
髮	发	faq7	1	
髪	发	faq7	1	
法	法	faq7	1	
灋	法	faq7	1	
砝	砝	faq7	2	
珐	珐	faq7	2	
琺	珐	faq7	2	
弗	弗	faq7	1	
彿	佛	faq7	2	彷彿
佛	佛	faq7	2	彷彿
髴	佛	faq7	2	彷彿
拂	拂	faq7	2	拂曉
勿	勿	faq7	3	又音 不
乏	乏	vaq8	2	
罰	罚	vaq8	1	
罸	罚	vaq8	1	
伐	伐	vaq8	2	
𠲎	𠲎	vaq8	2	
筏	筏	vaq8	2	
栰	筏	vaq8	2	
閥	阀	vaq8	2	
勿	勿	vaq8	1	
物	物	vaq8	1	
弗	弗	vaq8	3	不，字也作「勿」
佛	佛	vaq8	1	
仏	佛	vaq8	1	
𡍲	𡍲	taq7	1	地名用字
𢝉	𢝉	taq7	2	𢝉𢝉動
𢱕	𢱕	taq7	1	𢱕𢱕動
笚	笚	taq7	3	
啄	啄	taq7	1	又音 禽類用嘴叩擊、夾食
答	答	taq7	2	
搭	搭	taq7	1	
溚	溚	taq7	1	溚溚渧
嗒	嗒	taq7	1	品味兒
㿯	㿯	taq7	3	寬㿯㿯
㾑	㾑	taq7	3	壯㾑㾑
瘩	瘩	taq7	1	
德	德	taq7	1	
徳	德	taq7	1	
悳	德	taq7	1	
惪	德	taq7	1	
得	得	taq7	1	
掇	掇	taq7	1	兩手端東西（一般不過胸）
塔	塔	thaq7	1	
墖	塔	thaq7	1	
獺	獭	thaq7	2	水獺
塌	塌	thaq7	1	
榻	榻	thaq7	2	
鰈	鲽	thaq7	2	箬鰈魚
鰨	鳎	thaq7	1	鰙鰨
搨	搨	thaq7	1	
遢	遢	thaq7	1	
𡍲	𡍲	thaq7	2	量詞
貼	贴	thaq7	1	貼大餅
沓	沓	thaq7	1	
䵬	䵬	thaq7	3	黑䵬䵬
㒓	𠉂	thaq7	3	𠇱㒓
脫	脱	thaq7	1	
禿	秃	thaq7	1	
秃	秃	thaq7	1	
忒	忒	thaq7	1	
突	突	thaq7	3	僅限眼珠凸出一義
搭	搭	thaq7	3	又音
宊	宊	thaq7	4	
踏	踏	daq8	1	
達	达	daq8	1	
躂	跶	daq8	1	
澾	㳠	daq8	1	
薘	荙	daq8	1	
涾	涾	daq8	1	涾涾渧
𤒻	𪹹	daq8	1	腐𤒻𤒻
奪	夺	daq8	1	
突	突	daq8	1	
特	特	daq8	1	
沓	沓	daq8	1	量詞
陀	陀	daq8	3	僅限於「搣陀螺」
倷	倷	naq8	1	
捺	捺	naq8	2	
哪	哪	naq8	1	
辣	辣	naq8	3	又音 僅限於「煞辣」
吶	呐	naq8	3	
呐	呐	naq8	3	
納	纳	naq8	1	
衲	衲	naq8	1	
拉	拉	laq8	1	
啦	啦	laq8	3	
辣	辣	laq8	1	
辢	辣	laq8	1	
蠟	蜡	laq8	1	
蝋	蜡	laq8	1	
臘	腊	laq8	1	
臈	腊	laq8	1	
剌	剌	laq8	1	不剌
瘌	瘌	laq8	2	
劣	劣	laq8	2	白讀
獵	猎	laq8	2	
猟	猎	laq8	2	
鑞	镴	laq8	1	
邋	邋	laq8	1	
𦪴	𦪴	laq8	3	𦪴子
迾	迾	laq8	1	遮攔；阻擋
攔	拦	laq8	2	白讀
勒	勒	laq8	1	
了	了	laq8	3	
肋	肋	laq8	1	
捋	捋	laq8	1	
啦	啦	lhaq7	1	
扎	扎	tsaq7	1	
紮	扎	tsaq7	1	
紥	扎	tsaq7	1	
札	札	tsaq7	2	
剳	札	tsaq7	2	
劄	札	tsaq7	2	
箚	札	tsaq7	2	
𧉹	𧉹	tsaq7	3	䗫𧉹
摘	摘	tsaq7	1	
窄	窄	tsaq7	2	
咂	咂	tsaq7	1	
砸	砸	tsaq7	2	
責	责	tsaq7	2	
嘖	啧	tsaq7	2	
隻	只	tsaq7	1	量词
則	则	tsaq7	1	
側	侧	tsaq7	1	
鍘	铡	tsaq7	2	又音
仄	仄	tsaq7	1	
卒	卒	tsaq7	1	
漬	渍	tsaq7	3	僅限於「溼漬漬」
叉	叉	tshaq7	1	僅限於「叉燒」一詞
尺	尺	tshaq7	1	
冊	册	tshaq7	2	
册	册	tshaq7	2	
赤	赤	tshaq7	1	赤豆
漆	漆	tshaq7	2	漆黑
斥	斥	tshaq7	2	
㿭	㿭	tshaq7	1	皴㿭
拆	拆	tshaq7	1	
察	察	tshaq7	2	
詧	察	tshaq7	2	
擦	擦	tshaq7	1	
檫	檫	tshaq7	1	
臿	臿	tshaq7	3	
插	插	tshaq7	1	
揷	插	tshaq7	1	
挿	插	tshaq7	1	
𨔨	𨔨	tshaq7	3	形容走路輕快的樣子
珿	珿	tshaq7	1	珿齊
促	促	tshaq7	1	又音
簇	簇	tshaq7	1	
測	测	tshaq7	1	
側	侧	tshaq7	2	側面
撮	撮	tshaq7	1	
猝	猝	tshaq7	2	
策	策	tshaq7	2	
鸅	鸅	dzaq8	2	
宅	宅	dzaq8	1	
濯	濯	dzaq8	3	在清水裏搓洗
捽	捽	dzaq8	1	用力拉；用力使折斷
澤	泽	dzaq8	2	
沢	泽	dzaq8	2	
擇	择	dzaq8	2	
雜	杂	dzaq8	2	文讀
雑	杂	dzaq8	2	文讀
襍	杂	dzaq8	2	文讀
殺	杀	saq7	1	
薩	萨	saq7	2	
煞	煞	saq7	1	
柵	栅	saq7	1	
栅	栅	saq7	1	
霎	霎	saq7	2	
撒	撒	saq7	2	
𥈊	𥈊	saq7	1	「眨」本字當作「𥈊」
眨	眨	saq7	1	「眨」本字當作「𥈊」
澀	涩	saq7	1	
渋	涩	saq7	1	
濇	涩	saq7	1	
澁	涩	saq7	1	
嗇	啬	saq7	1	
穡	穑	saq7	2	
色	色	saq7	1	
塞	塞	saq7	1	
率	率	saq7	2	
蟀	蟀	saq7	2	
摔	摔	saq7	2	
瑟	瑟	saq7	2	
虱	虱	saq7	1	
蝨	虱	saq7	1	
颯	飒	saq7	2	
釋	释	saq7	2	雪釋掉
釈	释	saq7	2	雪釋掉
濕	湿	saq7	2	衣裳濕濕其
溼	湿	saq7	2	衣裳濕濕其
碎	碎	saq7	3	又音 僅限於「碎食」
砕	碎	saq7	3	又音 僅限於「碎食」
石	石	zaq8	1	
閘	闸	zaq8	1	
牐	闸	zaq8	1	
煠	煠	zaq8	1	烹飪方式，將食物放在水中煮
炸	炸	zaq8	1	烹飪方式，將食物放在油中煮
𧾁	𧾁	zaq8	1	
𧼰	𧼰	zaq8	1	𧼰時
鍘	铡	zaq8	2	
䥷	铡	zaq8	2	
賊	贼	zaq8	1	
雜	杂	zaq8	2	白讀
雑	杂	zaq8	2	白讀
襍	杂	zaq8	2	白讀
夾	夹	kaq7	1	
裌	夹	kaq7	1	
袷	夹	kaq7	1	
頰	颊	kaq7	3	
隔	隔	kaq7	1	
膈	膈	kaq7	1	
槅	槅	kaq7	1	槅子
嗝	嗝	kaq7	1	
塥	塥	kaq7	1	塥泥
㾸	㾸	kaq7	1	㾸𤶁
甲	甲	kaq7	2	白讀
胛	胛	kaq7	1	
格	格	kaq7	1	
介	介	kaq7	1	
溢	溢	kaq7	2	溢出
革	革	kaq7	1	
割	割	kaq7	1	
合	合	kaq7	2	僅限於「合算」
咯	咯	kaq7	2	咯咯笑
蛤	蛤	kaq7	1	
䀫	䀫	kaq7	1	因困倦或生眼病感覺不適而眨動眼睛
骼	骼	kaq7	2	
鴿	鸽	kaq7	1	
胳	胳	kaq7	2	
葛	葛	kaq7	2	
疙	疙	kaq7	1	
吃	吃	kaq7	3	僅限於「吃舌頭」
客	客	khaq7	1	
揢	揢	khaq7	1	量詞，拇指和食指合成的圈兒的大小
磕	磕	khaq7	1	
瞌	瞌	khaq7	1	
搕	搕	khaq7	3	
掐	掐	khaq7	1	
甲	甲	khaq7	2	僅限於「指甲」
胛	胛	khaq7	3	僅限於「挑肩胛」
克	克	khaq7	1	
剋	克	khaq7	1	剋落
尅	克	khaq7	1	剋落
刻	刻	khaq7	1	
咳	咳	khaq7	1	
渴	渴	khaq7	2	
渇	渴	khaq7	2	
軋	轧	gaq8	1	
扤	扤	ngaq8	1	又音 僅限於「扤頭」等
額	额	ngaq8	1	
頟	额	ngaq8	1	
齾	𫜰	ngaq8	1	
扤	扤	nkaq7	1	搖動；晃動
𦨉	𦨉	nkaq7	3	（船、車）擺動；晃動
赫	赫	haq7	2	
嚇	吓	haq7	1	
哈	哈	haq7	2	
瞎	瞎	haq7	1	
黑	黑	haq7	1	
黒	黑	haq7	1	
喝	喝	haq7	2	
欱	喝	haq7	2	
郝	郝	haq7	2	
覈	核	ghaq8	2	
狹	狭	ghaq8	1	
陿	狭	ghaq8	1	
匣	匣	ghaq8	2	
核	核	ghaq8	2	
合	合	ghaq8	1	
盒	盒	ghaq8	1	
壓	压	aq7	1	
圧	压	aq7	1	
鴨	鸭	aq7	1	
𩿼	鸭	aq7	1	
𪀌	鸭	aq7	1	
押	押	aq7	1	
阿	阿	aq7	1	
厄	厄	aq7	1	
戹	厄	aq7	1	
阨	厄	aq7	1	
呃	呃	aq7	1	
扼	扼	aq7	2	
搤	扼	aq7	2	
軛	轭	aq7	1	
藹	蔼	aq7	2	
靄	霭	aq7	2	
謁	谒	aq7	2	
餲	餲	aq7	3	餲𦤣
貼	贴	thiaq7	1	
帖	帖	thiaq7	1	
蝶	蝶	diaq8	2	
蜨	蝶	diaq8	2	
碟	碟	diaq8	1	
牒	牒	diaq8	2	
諜	谍	diaq8	2	
叠	叠	diaq8	1	
曡	叠	diaq8	1	
疊	叠	diaq8	1	
畳	叠	diaq8	1	
沓	沓	diaq8	1	量詞 又音
掠	掠	liaq8	1	
略	略	liaq8	2	
畧	略	liaq8	2	
獵	猎	liaq8	2	
猟	猎	liaq8	2	
劣	劣	liaq8	2	
雀	雀	ciaq7	1	
爵	爵	ciaq7	2	
酌	酌	ciaq7	2	
著	着	ciaq7	1	同「着」
着	着	ciaq7	1	
脚	脚	ciaq7	1	
腳	脚	ciaq7	1	
甲	甲	ciaq7	1	
莢	荚	ciaq7	1	
峽	峡	ciaq7	2	
雀	雀	chiaq7	1	
鵲	鹊	chiaq7	1	
卻	却	chiaq7	2	
却	却	chiaq7	2	
洽	洽	chiaq7	2	
恰	恰	chiaq7	2	
著	着	jiaq8	1	同「着」
