繁體	简体	吳拼	出處	備註
着	着	jiaq8	1	火着
𢜭	𢜭	jiaq8	1	𢜭力
捏	捏	gniaq8	1	
揑	捏	gniaq8	1	
虐	虐	gniaq8	2	
瘧	疟	gniaq8	2	
疟	疟	gniaq8	2	
涅	涅	gniaq8	2	
箬	箬	gniaq8	1	蘆箬
鰙	鰙	gniaq8	1	
鑷	镊	gniaq8	1	
削	削	shiaq7	1	
嚼	嚼	zhiaq8	1	
若	若	zhiaq8	2	
弱	弱	zhiaq8	2	
葯	药	yaq8	2	
藥	药	yaq8	1	
薬	药	yaq8	1	
鑰	钥	yaq8	1	
協	协	yaq8	2	
挾	挟	yaq8	2	
峽	峡	yaq8	2	
躍	跃	yaq8	2	
俠	侠	yaq8	2	
洽	洽	yaq8	2	
約	约	iaq7	1	
鴨	鸭	iaq7	2	鴨梨
𩿼	鸭	iaq7	2	鴨梨
𪀌	鸭	iaq7	2	鴨梨
骨	骨	kuaq7	1	
括	括	kuaq7	1	
聒	聒	kuaq7	2	
刮	刮	kuaq7	1	
颳	刮	kuaq7	2	
䀨	䀨	kuaq7	1	眼烏珠䀨瞎
摑	掴	kuaq7	1	
闊	阔	khuaq7	1	
濶	阔	khuaq7	1	
窟	窟	khuaq7	2	白讀
環	环	guaq8	1	僅限於「環頭」一詞
搰	搰	guaq8	3	禽類扇動翅膀
忽	忽	huaq7	2	
豁	豁	huaq7	1	開豁
甩	甩	huaq7	1	
劃	划	waq8	1	
划	划	waq8	2	
滑	滑	waq8	1	
𠿭	𠿭	waq8	3	耕地時吆喝牛停住的聲音
猾	猾	waq8	2	
𣝗	𣝗	waq8	1	果核
核	核	waq8	2	白讀
活	活	waq8	1	
囫	囫	waq8	1	囫圇
還	还	waq8	3	僅限於「還只」
挖	挖	uaq7	1	
䩊	䩊	uaq7	1	眼睛睜開
殟	殟	uaq7	1	心中煩悶；氣不順
𩑦	𬱕	uaq7	1	
屋	屋	uaq7	3	又音 僅限於「屋裏」
北	北	poq7	2	
波	波	poq7	1	寧波
卜	卜	poq7	1	
剝	剥	poq7	1	
剥	剥	poq7	1	
駁	驳	poq7	1	
駮	驳	poq7	1	
博	博	poq7	1	
愽	博	poq7	1	
搏	搏	poq7	2	
膊	膊	poq7	2	
撥	拨	poq7	3	又音
撲	扑	phoq7	1	
扑	扑	phoq7	1	
樸	朴	phoq7	1	
朴	朴	phoq7	2	
仆	仆	phoq7	2	
璞	璞	phoq7	2	
醭	醭	phoq7	1	醋酒等變質後表面漂浮的白色霉菌
𪒢	𪒢	phoq7	3	黑𪒢𪒢
墣	墣	phoq7	3	灰墣氣
𩔈	𩔈	phoq7	1	嬰孩長得肥墩墩，塊頭大
魄	魄	phoq7	1	魄屍
蝮	蝮	phoq7	1	僅限於「犁鑱蝮」
薄	薄	boq8	1	
膊	膊	boq8	1	僅限於「手膊絡頭」
雹	雹	boq8	1	
匐	匐	boq8	3	
蔔	卜	boq8	1	
卜	卜	boq8	1	喫腦子卜
箔	箔	boq8	1	
瀑	瀑	boq8	2	
曝	曝	boq8	2	
僕	仆	boq8	2	
伏	伏	boq8	1	白讀
袱	袱	boq8	2	白讀
栿	栿	boq8	1	地栿
𦤣	𦤣	boq8	3	餲𦤣
木	木	moq8	1	
沐	沐	moq8	2	
莫	莫	moq8	2	
摸	摸	moq8	1	
寞	寞	moq8	2	
漠	漠	moq8	2	
模	模	moq8	2	僅限於「好模好樣」一詞
目	目	moq8	2	
牧	牧	moq8	2	
墨	墨	moq8	1	
穆	穆	moq8	2	
麻	麻	moq8	3	又音 僅限於「癢麻嘍搜」
摩	摩	moq8	1	僅限於「摩托車」
福	福	foq7	1	
幅	幅	foq7	1	
蝠	蝠	foq7	2	
蝮	蝮	foq7	2	
腹	腹	foq7	2	
馥	馥	foq7	2	
複	复	foq7	1	
覆	覆	foq7	1	
服	服	voq8	1	
菔	菔	voq8	1	老菔乾
伏	伏	voq8	1	文讀
茯	茯	voq8	2	
復	复	voq8	2	
篤	笃	toq7	1	
𤒘	𬊯	toq7	3	
督	督	toq7	1	
𧝴	𧝴	toq7	1	衣料不夠，另外縫一塊上去
𧰵	𧰵	toq7	1	𧰵鼓
㞘	㞘	toq7	1	㞘底
䐁	䐁	toq7	1	「㞘」亦作「䐁」
𡰪	𡰪	toq7	1	「㞘」俗作「𡰪」
沰	沰	toq7	1	量詞，指稠黏的液體或有較多水分的堆狀固體
啄	啄	toq7	1	禽類用嘴叩擊、夾食
築	築	toq7	3	表豎、直插義的「篤」本字爲「築」
得	得	toq7	3	僅限於「得知」
跌	跌	toq7	3	又音 僅限於「跌落」
搭	搭	toq7	3	又音
托	托	thoq7	1	
託	托	thoq7	1	
拓	拓	thoq7	1	
度	度	doq8	2	僅限於「猜度」
讀	读	doq8	1	
読	读	doq8	1	
犢	犊	doq8	2	
牘	牍	doq8	2	
黷	黩	doq8	2	
瀆	渎	doq8	2	
獨	独	doq8	1	
鐸	铎	doq8	2	
毒	毒	doq8	2	
踱	踱	doq8	2	
大	大	doq8	3	僅限於「大家」
諾	诺	noq8	2	
錄	录	loq8	2	
録	录	loq8	2	
綠	绿	loq8	1	
緑	绿	loq8	1	
菉	绿	loq8	1	
碌	碌	loq8	1	
磟	碌	loq8	1	
睩	睩	loq8	1	彈眼睩睛
氯	氯	loq8	2	化學元素
祿	禄	loq8	2	
六	六	loq8	1	
陸	陆	loq8	1	
鹿	鹿	loq8	2	
漉	漉	loq8	1	
樂	乐	loq8	2	快樂
楽	乐	loq8	2	快樂
洛	洛	loq8	2	
絡	络	loq8	1	
烙	烙	loq8	1	
駱	骆	loq8	1	
賂	赂	loq8	2	
酪	酪	loq8	2	
落	落	loq8	1	
戮	戮	loq8	2	
勠	戮	loq8	2	
剹	戮	loq8	2	
摝	摝	lhoq7	1	振動；搖動
睩	睩	lhoq7	1	
㖨	㖨	lhoq7	4	
足	足	tsoq7	1	
捉	捉	tsoq7	1	
𧋥	𧋥	tsoq7	3	
作	作	tsoq7	1	
撮	撮	tsoq7	1	撮藥
喌	喌	tsoq7	3	
摘	摘	tsoq7	3	取下；鬆開
折	折	tsoq7	1	
簇	簇	tsoq7	3	聚集
癤	疖	tsoq7	3	又音 僅限於「熱癤」
䭁	䭁	tsoq7	1	腌製品及酒變質而散發出異味
遭	遭	tsoq7	3	僅限於「沃遭」
粥	粥	tsoq7	1	
祝	祝	tsoq7	2	
𡎺	𡎺	tsoq7	1	捉漏 「捉」本字當作「𡎺」
竹	竹	tsoq7	1	
筑	筑	tsoq7	2	
築	筑	tsoq7	1	
燭	烛	tsoq7	1	
囑	嘱	tsoq7	2	
啄	啄	tsoq7	1	啄木鳥
琢	琢	tsoq7	2	
瘃	瘃	tsoq7	1	
涿	涿	tsoq7	2	
卓	卓	tsoq7	2	
桌	桌	tsoq7	1	
槕	桌	tsoq7	1	
竺	竺	tsoq7	2	
浞	浞	tsoq7	1	迹浞
斫	斫	tsoq7	1	用刀斧砍伐
斮	斫	tsoq7	1	用刀斧砍伐
斲	斲	tsoq7	1	用刀斧砍伐
斵	斫	tsoq7	1	用刀斧砍伐
咂	咂	tsoq7	3	
促	促	tshoq7	1	
珿	珿	tshoq7	4	珿齊
戳	戳	tshoq7	1	
蹙	蹙	tshoq7	2	
簇	簇	tshoq7	1	
撮	撮	tshoq7	2	文讀
觸	触	tshoq7	1	
綽	绰	tshoq7	2	綽綽有餘
曲	曲	tshoq7	3	僅限於「曲蟮」
蛐	蛐	tshoq7	3	僅限於「蛐蟮」
赤	赤	tshoq7	3	僅限於「火赤練」
俗	俗	dzoq8	1	
續	续	dzoq8	2	
続	续	dzoq8	2	
族	族	dzoq8	1	
昨	昨	dzoq8	2	文讀
逐	逐	dzoq8	1	
蜀	蜀	dzoq8	2	
濁	浊	dzoq8	1	
妯	妯	dzoq8	1	
㪬	㪬	dzoq8	1	
著	着	dzoq8	2	同「着」
着	着	dzoq8	2	
屬	属	dzoq8	2	
贖	赎	dzoq8	2	
速	速	soq7	1	
欶	欶	soq7	1	吸
簌	簌	soq7	2	
朔	朔	soq7	2	
塑	塑	soq7	2	
嗍	嗍	soq7	3	
宿	宿	soq7	2	
粟	粟	soq7	1	
㬘	㬘	soq7	1	燥㬘
夙	夙	soq7	2	
索	索	soq7	1	
𢱢	𢱢	soq7	1	用手輕輕來回撫摩
式	式	soq7	1	啥…式
什	什	soq7	2	什麼
啥	啥	soq7	1	
爍	烁	soq7	2	
鑠	铄	soq7	2	
叔	叔	soq7	1	
束	束	soq7	1	
縮	缩	soq7	1	
昨	昨	zoq8	2	白讀
辱	辱	zoq8	2	
褥	褥	zoq8	2	
鑿	凿	zoq8	1	
𧮙	𧮙	zoq8	3	罵
熟	熟	zoq8	1	
孰	孰	zoq8	2	
塾	塾	zoq8	2	又音
淑	淑	zoq8	2	
碩	硕	zoq8	2	
勺	勺	zoq8	1	
芍	芍	zoq8	1	
國	国	koq7	1	
国	国	koq7	1	
囯	国	koq7	1	
圀	国	koq7	1	
圐	国	koq7	1	
閣	阁	koq7	1	
擱	搁	koq7	1	
𰟫	𰟄	koq7	3	⿰火閣。食物加少量油，用微火炒制
郭	郭	koq7	2	
谷	谷	koq7	2	
穀	谷	koq7	1	
角	角	koq7	2	
埆	埆	koq7	3	
虢	虢	koq7	2	
覺	觉	koq7	2	覺着
覚	觉	koq7	2	覺着
各	各	koq7	1	
該	该	koq7	3	又音 僅限於「該晌」
哭	哭	khoq7	1	
廓	廓	khoq7	2	
擴	扩	khoq7	2	
拡	扩	khoq7	2	
確	确	khoq7	2	白讀
确	确	khoq7	2	白讀
𤿩	𤿩	khoq7	1	東西乾後與粘着處脫開，中間凸起
窟	窟	khoq7	2	又音
窖	窖	khoq7	2	
嚳	喾	khoq7	2	
酷	酷	khoq7	2	
殼	壳	khoq7	1	
殻	壳	khoq7	1	
個	个	goq8	1	
箇	个	goq8	1	
嗰	个	goq8	1	
擱	搁	goq8	1	
埆	埆	goq8	3	又音 墝埆
岳	岳	ngoq8	2	
嶽	岳	ngoq8	2	
愕	愕	ngoq8	2	
鄂	鄂	ngoq8	2	
顎	颚	ngoq8	2	
腭	腭	ngoq8	2	
齶	腭	ngoq8	2	
萼	萼	ngoq8	2	
蕚	萼	ngoq8	2	
鶚	鹗	ngoq8	2	
鰐	鳄	ngoq8	2	
鱷	鳄	ngoq8	2	
噩	噩	ngoq8	2	
鶴	鹤	ngoq8	1	
樂	乐	ngoq8	2	姓
楽	乐	ngoq8	2	姓
瓦	瓦	ngoq8	1	僅限於「硯瓦爿」一詞
霍	霍	hoq7	1	
藿	藿	hoq7	2	
𢞕	𢞕	hoq7	3	喫𢞕
嚯	嚯	hoq7	3	
豁	豁	hoq7	2	豁出去
壑	壑	hoq7	2	
嗀	嗀	hoq7	1	
謞	謞	hoq7	3	
獲	获	ghoq8	2	
穫	获	ghoq8	2	
鑊	镬	ghoq8	1	
嚯	嚯	ghoq8	3	
或	或	ghoq8	2	
惑	惑	ghoq8	2	
蜮	蜮	ghoq8	1	蜮蟲
域	域	ghoq8	2	白讀
學	学	ghoq8	1	白讀
個	个	ghoq8	3	又音
箇	个	ghoq8	3	又音
嗰	个	ghoq8	3	又音
屋	屋	oq7	1	
握	握	oq7	2	
齷	龌	oq7	2	
沃	沃	oq7	2	
惡	恶	oq7	1	
悪	恶	oq7	1	
阿	阿	oq7	1	僅限於「阿講」一詞
喫	吃	chioq7	1	
玉	玉	gnioq8	1	
肉	肉	gnioq8	1	
𢫭	𢫭	gnioq8	1	
掿	掿	gnioq8	3	
浴	浴	gnioq8	2	白讀
箬	箬	gnioq8	2	箬鰈魚
鰙	鰙	gnioq8	2	
育	育	gnioq8	1	僅限於「阿育王寺」一詞
筆	笔	piq7	1	
潷	滗	piq7	1	擋住浸泡在液體中的東西把液體倒出來
畢	毕	piq7	1	
𨂅	𨂅	piq7	3	
必	必	piq7	1	
䀣	䀣	piq7	3	䀣眼火
壁	壁	piq7	1	
璧	璧	piq7	2	
碧	碧	piq7	1	
逼	逼	piq7	2	
偪	逼	piq7	2	
煏	煏	piq7	3	
憋	憋	piq7	2	
鱉	鳖	piq7	1	
鼈	鳖	piq7	1	
𤎨	𤎨	piq7	1	高溫灼烤
癟	瘪	piq7	1	
㿜	瘪	piq7	1	
百	百	piq7	3	僅限於「百發百中」
撥	拨	piq7	3	又音
疋	匹	phiq7	1	
匹	匹	phiq7	1	
䏘	䏘	phiq7	1	女陰
撇	撇	phiq7	1	
僻	僻	phiq7	2	
劈	劈	phiq7	2	
擗	劈	phiq7	2	
霹	霹	phiq7	1	
癖	癖	phiq7	2	
闢	辟	phiq7	2	
辟	辟	phiq7	2	
別	别	biq8	1	
别	别	biq8	1	
弼	弼	biq8	2	
鼻	鼻	biq8	1	文讀
笓	笓	biq8	1	依次緊挨着放
䀣	䀣	biq8	3	䀣眼火
蹩	蹩	biq8	1	
𨂅	𨂅	biq8	3	
𧼱	𧼱	biq8	1	追；趕
𤐧	𤐧	biq8	1	用火烘或高溫使乾
煏	煏	biq8	3	又音
滅	灭	miq8	2	
搣	搣	miq8	1	用手指搓捻使旋轉
密	密	miq8	1	
蜜	蜜	miq8	1	
覓	觅	miq8	2	
覔	觅	miq8	2	
蔑	蔑	miq8	1	
衊	蔑	miq8	2	
篾	篾	miq8	1	
幂	幂	miq8	2	
冪	幂	miq8	2	
末	末	miq8	3	僅限於「今末」
嘸沒	呒没	mhiq7	1	合音
的	的	tiq7	1	
旳	的	tiq7	1	
扚	扚	tiq7	1	用兩個手指甲掐起或截斷
𢯊	𢯊	tiq7	3	
滴	滴	tiq7	1	
嫡	嫡	tiq7	2	
跌	跌	tiq7	1	
搭	搭	tiq7	3	又音
踢	踢	thiq7	1	
剔	剔	thiq7	2	
惕	惕	thiq7	2	
鐵	铁	thiq7	1	
鉄	铁	thiq7	1	
天	天	thiq7	1	天亮 當清晨講，韻、調特殊
聽	听	thiq7	3	又音 僅限於「聽明」
笛	笛	diq8	1	
迪	迪	diq8	2	
狄	狄	diq8	2	
荻	荻	diq8	2	
敵	敌	diq8	2	
迭	迭	diq8	2	
滌	涤	diq8	2	
翟	翟	diq8	2	白讀
糴	籴	diq8	1	糴米
踏	踏	diq8	3	又音 僅限於「踏牀」
力	力	liq8	1	
律	律	liq8	1	
𢯰	𢯰	liq8	1	讓帶水的東西放在盛器中自行滴乾
栗	栗	liq8	1	
慄	栗	liq8	1	
凓	栗	liq8	1	
率	率	liq8	2	效率
曆	历	liq8	1	
厤	历	liq8	1	
歷	历	liq8	2	
歴	历	liq8	2	
厯	历	liq8	2	
癧	疬	liq8	1	癧串
靂	雳	liq8	1	
瀝	沥	liq8	1	竹瀝
立	立	liq8	1	
笠	笠	liq8	2	
粒	粒	liq8	1	
列	列	liq8	1	
裂	裂	liq8	2	
烈	烈	liq8	2	
冽	冽	liq8	2	
櫟	栎	liq8	2	
礫	砾	liq8	2	
䉭	䉭	liq8	1	用竹篾編成的曬物器具，長方形如門板，也可以用來遮蔽倉庫門
裏	里	liq8	3	又音 僅限於「花裏花繃」
裡	里	liq8	3	又音 僅限於「花裏花繃」
接	接	ciq7	1	
即	即	ciq7	1	
卽	即	ciq7	1	
節	节	ciq7	1	
鯽	鲫	ciq7	2	文讀
𧉆	𧉆	ciq7	1	蹔𧉆
執	执	ciq7	2	
汁	汁	ciq7	1	
迹	迹	ciq7	1	
跡	迹	ciq7	1	
蹟	迹	ciq7	1	
績	绩	ciq7	1	
勣	绩	ciq7	1	
漬	渍	ciq7	1	
積	积	ciq7	1	
織	织	ciq7	1	
職	职	ciq7	2	
脊	脊	ciq7	1	
瘠	瘠	ciq7	2	
尐	尐	ciq7	4	小尐尐
炙	炙	ciq7	2	
只	只	ciq7	1	
祇	只	ciq7	1	同「只」
知	知	ciq7	5	僅限於「弗知」
蜘	蜘	ciq7	2	僅限於「蜘蛛」
騭	骘	ciq7	1	
轍	辙	ciq7	2	
折	折	ciq7	1	
哲	哲	ciq7	2	
喆	哲	ciq7	2	
蜇	蜇	ciq7	1	
浙	浙	ciq7	2	
摺	折	ciq7	1	
褶	褶	ciq7	2	
質	质	ciq7	2	
灼	灼	ciq7	1	
𢆞	𢆞	ciq7	1	量詞，捆
指	指	ciq7	3	又音 僅限於「腳指末頭」
今	今	ciq7	1	僅限於「今末」等詞
結	结	ciq7	1	
潔	洁	ciq7	1	
絜	洁	ciq7	1	同「潔」
䥛	䥛	ciq7	1	䥛子刀
吉	吉	ciq7	1	
詰	诘	ciq7	2	
鮚	鲒	ciq7	1	黃鮚
秸	秸	ciq7	1	
稭	秸	ciq7	1	
級	级	ciq7	1	
汲	汲	ciq7	2	
秄	秄	ciq7	5	量詞；捆
給	给	ciq7	2	文讀
急	急	ciq7	1	
劫	劫	ciq7	2	
刼	劫	ciq7	2	
刦	劫	ciq7	2	
擊	击	ciq7	2	
撃	击	ciq7	2	
墼	墼	ciq7	1	
激	激	ciq7	2	
棘	棘	ciq7	2	
孑	孑	ciq7	2	
揭	揭	ciq7	1	
掲	揭	ciq7	1	
羯	羯	ciq7	1	羯豬
夾	夹	ciq7	3	僅限用筷子夾取食物一義
砌	砌	chiq7	2	
輯	辑	chiq7	2	
緝	缉	chiq7	1	
七	七	chiq7	1	
漆	漆	chiq7	1	
䜉	䜉	chiq7	1	
赤	赤	chiq7	1	文讀
斥	斥	chiq7	2	文讀
戚	戚	chiq7	2	
慼	戚	chiq7	1	
鏚	戚	chiq7	2	
妾	妾	chiq7	2	
切	切	chiq7	1	
竊	窃	chiq7	2	
瘵	瘵	chiq7	3	癆瘵
皵	皵	chiq7	1	指甲或竹木等表皮裂開成絲或翹起
趞	趞	chiq7	3	形容走路輕快的樣子
撤	撤	chiq7	1	
轍	辙	chiq7	2	白讀
乞	乞	chiq7	2	
訖	讫	chiq7	2	
迄	迄	chiq7	2	
泣	泣	chiq7	2	
怯	怯	chiq7	1	
挈	挈	chiq7	1	
𤷾	𤷾	chiq7	1	
喫	吃	chiq7	1	僅限於「喫力」一詞
直	直	jiq8	1	
殖	殖	jiq8	2	
值	值	jiq8	1	
値	值	jiq8	1	
植	植	jiq8	2	
秩	秩	jiq8	2	
寂	寂	jiq8	2	
擲	掷	jiq8	1	
涉	涉	jiq8	2	
渉	涉	jiq8	2	
捷	捷	jiq8	2	
疾	疾	jiq8	1	
截	截	jiq8	2	
蟄	蛰	jiq8	2	驚蟄
侄	侄	jiq8	1	
姪	侄	jiq8	1	
妷	侄	jiq8	1	
集	集	jiq8	2	
其	其	jiq8	3	又音 僅限於「其拉」
渠	渠	jiq8	1	又音 僅限於「渠拉」
屐	屐	jiq8	1	木屐
劇	剧	jiq8	1	
及	及	jiq8	1	
扱	扱	jiq8	3	
傑	杰	jiq8	2	
搩	搩	jiq8	3	
杰	杰	jiq8	2	
極	极	jiq8	1	
朮	术	jiq8	2	白朮
竭	竭	jiq8	2	
𢷒	𢷒	jiq8	1	
熱	热	gniq8	1	
業	业	gniq8	1	
鄴	邺	gniq8	2	
逆	逆	gniq8	2	
聶	聂	gniq8	2	
躡	蹑	gniq8	2	
囁	嗫	gniq8	2	
孽	孽	gniq8	1	
孼	孽	gniq8	1	
溺	溺	gniq8	2	
匿	匿	gniq8	2	
日	日	gniq8	1	白讀
濕	湿	shiq7	1	
溼	湿	shiq7	1	
飾	饰	shiq7	1	
些	些	shiq7	1	
屑	屑	shiq7	1	
薛	薛	shiq7	2	
泄	泄	shiq7	2	
洩	泄	shiq7	2	
設	设	shiq7	2	
析	析	shiq7	2	
晰	晰	shiq7	2	
蜥	蜥	shiq7	2	
錫	锡	shiq7	1	
攝	摄	shiq7	1	
摂	摄	shiq7	1	
適	适	shiq7	2	
釋	释	shiq7	2	
釈	释	shiq7	2	
悉	悉	shiq7	2	
膝	膝	shiq7	2	
息	息	shiq7	1	
媳	媳	shiq7	2	
熄	熄	shiq7	2	
瘜	瘜	shiq7	1	「息肉」也作「瘜肉」
式	式	shiq7	1	
軾	轼	shiq7	2	
識	识	shiq7	1	
昔	昔	shiq7	2	
惜	惜	shiq7	2	
晳	晰	shiq7	2	
皙	皙	shiq7	2	
啥	啥	shiq7	3	又音 僅限於「啥西」
西	西	shiq7	3	又音 僅限於「啥西」
歇	歇	shiq7	1	
蠍	蝎	shiq7	2	
蝎	蝎	shiq7	2	
翕	翕	shiq7	2	
歙	歙	shiq7	2	
脅	胁	shiq7	2	
脇	胁	shiq7	2	
吸	吸	shiq7	1	
㽺	㽺	shiq7	1	
㩉	㩉	shiq7	4	用巴掌打
隙	隙	shiq7	2	
舌	舌	zhiq8	1	
席	席	zhiq8	1	
蓆	席	zhiq8	1	
射	射	zhiq8	2	
夕	夕	zhiq8	2	
蝕	蚀	zhiq8	1	
食	食	zhiq8	1	
籍	籍	zhiq8	2	
藉	藉	zhiq8	2	
習	习	zhiq8	2	文讀
石	石	zhiq8	2	姓
襲	袭	zhiq8	2	
該	该	kiq7	1	
頁	页	yiq8	1	
枼	枼	yiq8	1	
葉	叶	yiq8	1	
液	液	yiq8	2	
腋	腋	yiq8	2	
亦	亦	yiq8	1	
奕	奕	yiq8	2	
弈	弈	yiq8	2	
逸	逸	yiq8	2	
驛	驿	yiq8	2	
駅	驿	yiq8	2	
譯	译	yiq8	2	
訳	译	yiq8	2	
翼	翼	yiq8	1	
弋	弋	yiq8	2	
𢖺	𢖺	yiq8	1	
拽	拽	yiq8	1	
易	易	yiq8	2	交易
一	一	iq7	1	
乙	乙	iq7	1	
益	益	iq7	2	
縊	缢	iq7	2	
溢	溢	iq7	5	
壹	壹	iq7	2	
壱	壹	iq7	2	
噎	噎	iq7	1	
揖	揖	iq7	2	
邑	邑	iq7	2	
抑	抑	iq7	2	
𨉖	𨉖	iq7	1	貼壁躲藏
擪	擪	iq7	1	
𥣘	𥣘	iq7	1	
⿰米厭	⿰米厌	iq7	4	
决	决	ciuq7	2	
決	决	ciuq7	2	
訣	诀	ciuq7	2	
抉	抉	ciuq7	2	
厥	厥	ciuq7	1	
噘	噘	ciuq7	1	
撅	噘	ciuq7	1	
瘚	瘚	ciuq7	3	
桔	桔	ciuq7	2	
橘	橘	ciuq7	1	
菊	菊	ciuq7	1	
掬	掬	ciuq7	2	
鞠	鞠	ciuq7	2	
覺	觉	ciuq7	2	覺悟
覚	觉	ciuq7	2	覺悟
屈	屈	chiuq7	2	
缺	缺	chiuq7	1	
曲	曲	chiuq7	1	
麯	曲	chiuq7	2	
麴	曲	chiuq7	2	
麹	麹	chiuq7	2	
確	确	chiuq7	2	文讀
确	确	chiuq7	2	文讀
榷	榷	chiuq7	2	
搉	榷	chiuq7	2	
掘	掘	jiuq8	1	
倔	倔	jiuq8	1	
𥏘	𥏘	jiuq8	1	
橛	橛	jiuq8	3	量詞。截；段
橜	橛	jiuq8	3	量詞。截；段
𧤼	𧤼	jiuq8	1	牛羊等用角頂人或觸物
局	局	jiuq8	1	
侷	局	jiuq8	2	
跼	局	jiuq8	1	
軸	轴	jiuq8	2	
鐲	镯	jiuq8	1	
㪬	㪬	jiuq8	3	
血	血	shiuq7	1	
恤	恤	shiuq7	2	
卹	恤	shiuq7	2	
賉	恤	shiuq7	2	
畜	畜	shiuq7	2	
蓄	蓄	shiuq7	2	
㜅	㜅	shiuq7	1	漂亮；略有戲謔味兒
旭	旭	shiuq7	2	
噱	噱	shiuq7	1	逗引；哄騙
悅	悦	yuq8	2	
悦	悦	yuq8	2	
閱	阅	yuq8	2	
閲	阅	yuq8	2	
越	越	yuq8	1	
粵	粤	yuq8	2	
粤	粤	yuq8	2	
穴	穴	yuq8	2	
月	月	yuq8	1	
學	学	yuq8	2	文讀
慾	欲	yuq8	2	
欲	欲	yuq8	2	
浴	浴	yuq8	2	文讀
曰	曰	yuq8	2	
域	域	yuq8	2	
役	役	yuq8	2	
疫	疫	yuq8	2	
樂	乐	yuq8	2	音樂
楽	乐	yuq8	2	音樂
獄	狱	yuq8	1	
育	育	yuq8	2	
拽	拽	yuq8	3	僅限於「東借西拽」
𢺴	𢺴	iuq7	1	
噦	哕	iuq7	1	氣鬱積在心中
郁	郁	iuq7	2	
鬱	郁	iuq7	1	
鬰	郁	iuq7	1	
欝	郁	iuq7	1	
這	这	tsyuq7	2	
拙	拙	tsyuq7	2	白讀
唶	唶	tsyuq7	1	吮吸
㔃	㔃	tsyuq7	1	用力使物轉向
齣	出	tshyuq7	1	量詞
出	出	tshyuq7	1	
黢	黢	tshyuq7	3	黑黢黢
𠭴	𠭴	tshyuq7	3	短𠭴𠭴
絕	绝	dzyuq8	2	
絶	绝	dzyuq8	2	
說	说	syuq7	2	
説	说	syuq7	2	
涮	涮	syuq7	2	
刷	刷	syuq7	1	
雪	雪	syuq7	2	
失	失	syuq7	1	
室	室	syuq7	2	
戌	戌	syuq7	2	
十	十	syuq7	1	僅限於「三十年夜」，「年三十夜」兩詞
十	十	zyuq8	1	
什	什	zyuq8	2	什物
拾	拾	zyuq8	2	
入	入	zyuq8	1	
實	实	zyuq8	1	
寔	实	zyuq8	1	
実	实	zyuq8	1	
日	日	zyuq8	1	文讀
秫	秫	zyuq8	2	
述	述	zyuq8	2	
習	习	zyuq8	2	白讀
集	集	zyuq8	2	
兒	儿	er2	1	文讀
児	儿	er2	1	文讀
爾	尔	er2	1	
尒	尔	er2	1	
尓	尔	er2	1	
而	而	er2	1	
餌	饵	er2	2	
耳	耳	er6	1	文讀
二	二	er6	1	文讀
貳	贰	er6	2	文讀
姆	姆	m2	1	阿姆
拇	拇	m2	1	白讀
畝	亩	m2	1	白讀
畮	亩	m2	1	白讀
畆	亩	m2	1	白讀
畂	亩	m2	1	白讀
嘸	呒	m2	4	有嘸
鰻	鳗	m2	2	又音
呣	呣	mh1	2	應答聲
姆	姆	mh1	1	姆媽
嘸	呒	mh5	1	
沒	没	mh5	3	「嘸腳蟹」也作「沒腳蟹」
你	你	n2	2	白讀 你儂
妳	你	n2	2	白讀 你儂
伱	你	n2	2	白讀 你儂
芋	芋	n6	1	白讀 芋艿
兒	儿	ng2	1	白讀 兒子
児	儿	ng2	1	白讀 兒子
魚	鱼	ng2	1	白讀
五	五	ng6	1	白讀
𠄡	五	ng6	1	白讀
耳	耳	ng6	1	
午	午	ng6	1	限於「端午」
尾	尾	ng6	1	白讀 船尾巴
爾	尔	ng6	1	「俉」的本字爲「爾」
尒	尔	ng6	1	「俉」的本字爲「爾」
尓	尔	ng6	1	「俉」的本字爲「爾」
你	你	ng6	2	白讀 單數
妳	你	ng6	2	白讀 單數
伱	你	ng6	2	白讀 單數
俉	俉	ng6	1	「俉」的本字爲「爾」
㕶	㕶	ng6	4	自做㕶頭
孲	孲	nk1	1	孲𤘅
嗯	嗯	nk1	1	
